date;US;Mexico;Belgium;Afghanistan;Netherlands
2021-03-20;118523251.0;5459014.0;1501948.0;54000.0;1887726.0
2021-03-21;121467748.0;5612291.0;1502850.0;54000.0;2097980.0
2021-03-22;124316463.0;5781359.0;1535247.0;54000.0;2097980.0
2021-03-23;126246074.0;5926967.0;1582996.0;54000.0;2097980.0
2021-03-24;128064915.0;6119298.0;1644497.0;54000.0;2097980.0
2021-03-25;130492429.0;6243886.0;1721719.0;54000.0;2097980.0
2021-03-26;133399666.0;6487170.0;1790211.0;54000.0;2097980.0
2021-03-27;136830487.0;6724789.0;1812308.0;54000.0;2097980.0
2021-03-28;140108510.0;6852596.0;1814642.0;54000.0;2378552.0
2021-03-29;143289876.0;7018449.0;1838047.0;54000.0;2378552.0
2021-03-30;145595851.0;7404912.0;1869875.0;54000.0;2378552.0
2021-03-31;147524762.0;7851053.0;1954192.0;54000.0;2378552.0
2021-04-01;150295052.0;7851053.0;2055348.0;54000.0;2378552.0
2021-04-02;153772263.0;8644446.0;2137175.0;54000.0;2378552.0
2021-04-03;157443383.0;8987190.0;2157916.0;54000.0;2378552.0
2021-04-04;161319478.0;9036000.0;2157993.0;54000.0;2863986.0
2021-04-05;164607233.0;9287405.0;2172568.0;54000.0;2863986.0
2021-04-06;166858810.0;9675517.0;2219210.0;54000.0;2863986.0
2021-04-07;168427358.0;10089420.0;2266801.0;120000.0;2863986.0
2021-04-08;171557940.0;10642873.0;2391471.0;120000.0;2863986.0
2021-04-09;179137500.0;10984869.0;2524625.0;120000.0;2863986.0
2021-04-10;183480503.0;11204183.0;2592507.0;120000.0;2863986.0
2021-04-11;186898896.0;11395137.0;2596372.0;120000.0;3783912.0
2021-04-12;189530797.0;11703164.0;2644900.0;120000.0;3783912.0
2021-04-13;192078802.0;12407625.0;2717037.0;120000.0;3783912.0
2021-04-14;194804402.0;12912963.0;2817319.0;120000.0;3783912.0
2021-04-15;198336467.0;13421708.0;2928542.0;120000.0;3783912.0
2021-04-16;202316218.0;13978181.0;3022205.0;120000.0;3783912.0
2021-04-17;205664938.0;14748358.0;3080226.0;120000.0;3783912.0
2021-04-18;208947573.0;15041461.0;3086192.0;120000.0;4578432.0
2021-04-19;211278869.0;15181068.0;3146819.0;120000.0;4578432.0
2021-04-20;213027052.0;15181068.0;3196801.0;120000.0;4578432.0
2021-04-21;215737583.0;15477517.0;3288396.0;120000.0;4873624.0
2021-04-22;218774006.0;16601538.0;3383089.0;240000.0;4952724.0
2021-04-23;222112387.0;17155129.0;3454148.0;240000.0;4952724.0
2021-04-24;225228832.0;17607209.0;3500243.0;240000.0;5039385.0
2021-04-25;228076358.0;17868577.0;3506516.0;240000.0;5128167.0
2021-04-26;230247268.0;17971697.0;3569066.0;240000.0;5207495.0
2021-04-27;231904317.0;18193262.0;3621598.0;240000.0;5293851.0
2021-04-28;234248419.0;18193262.0;3715745.0;240000.0;5265860.0
